,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12023,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19849303.0,19849303.0,False,,1,,,,2025-04-10T13:37:00.000Z,81492.73377799368,67448488326.39679,10.9031,-0.43823222,5.66807493,-0.9571171,-0.09922688,-15.31564763,-12.3510032,1617573965057.7312,62.639,1711347409337.87,,2025-04-10T13:37:00.000Z,,,,,,2025-04-10 13:38:22.461586
1,1027,Ethereum,ETH,ethereum,10118,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120680830.78496061,120680830.78496061,True,,2,,,,2025-04-10T13:37:00.000Z,1577.3600955357037,31173080655.35134,4.3603,-1.57940735,7.02150089,-11.29327736,-17.64627933,-40.27164734,-51.0922764,190357126776.29358,7.3713,190357126776.29,,2025-04-10T13:37:00.000Z,,,,,,2025-04-10 13:38:22.461586
2,825,Tether USDt,USDT,tether,123507,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'telos-ecosystem', 'world-liberty-financial-portfolio']",,144371007893.20065,148858996005.5019,True,,3,,,,2025-04-10T13:36:00.000Z,0.9995454404680545,117143998177.3735,13.8248,0.01114448,0.01766566,-0.02358405,-0.02914451,-0.07247745,-0.05406912,144305382675.4262,5.5792,148791330729.95,,2025-04-10T13:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-04-10 13:38:22.461586
3,52,XRP,XRP,xrp,1584,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58274974538.0,99986277500.0,False,,4,,,,2025-04-10T13:37:00.000Z,2.002113997668451,7245513059.447057,-0.2362,-0.59111745,10.39749293,-0.42449021,-5.37761104,-16.93064277,-11.80748287,116673142236.30237,4.5034,200211399766.85,,2025-04-10T13:37:00.000Z,,,,,,2025-04-10 13:38:22.461586
4,1839,BNB,BNB,bnb,2463,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,142470834.27,142470834.27,False,,5,,,,2025-04-10T13:37:00.000Z,576.710575909097,1971165134.493754,10.4246,-0.06906593,3.37367627,-1.95913401,5.22231779,-7.46943964,-16.57264295,82164436882.10121,3.1817,82164436882.1,,2025-04-10T13:37:00.000Z,,,,,,2025-04-10 13:38:22.461586
0,1,Bitcoin,BTC,bitcoin,12023,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19849328.0,19849328.0,False,,1,,,,2025-04-10T13:44:00.000Z,80770.35863458061,67224871512.10404,9.6894,-1.35114232,4.42311011,-1.88074848,-0.62050415,-15.97085606,-13.68702432,1603237341215.4226,62.2469,1696177531326.19,,2025-04-10T13:44:00.000Z,,,,,,2025-04-10 13:45:14.165926
1,1027,Ethereum,ETH,ethereum,10118,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120680830.78496061,120680830.78496061,True,,2,,,,2025-04-10T13:44:00.000Z,1561.979281428174,30942693098.54803,3.6752,-2.40640601,5.57845945,-12.39379614,-18.33744156,-40.70098745,-51.88663114,188500957351.64786,7.3299,188500957351.65,,2025-04-10T13:44:00.000Z,,,,,,2025-04-10 13:45:14.165926
2,825,Tether USDt,USDT,tether,123507,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'telos-ecosystem', 'world-liberty-financial-portfolio']",,144371007893.20065,148858996005.5019,True,,3,,,,2025-04-10T13:43:00.000Z,0.9994801323351452,116798063584.87881,12.3853,0.00465477,0.00687101,-0.02472505,-0.01776711,-0.06956809,-0.05360291,144295954074.45447,5.5911,148781609026.86,,2025-04-10T13:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-04-10 13:45:14.165926
3,52,XRP,XRP,xrp,1584,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58274974538.0,99986277500.0,False,,4,,,,2025-04-10T13:44:00.000Z,1.9839244103667986,7166445041.168905,-2.8458,-1.63516109,8.26764297,-1.28515885,-6.64037241,-17.57334046,-12.62563606,115613144499.44185,4.4988,198392441036.68,,2025-04-10T13:44:00.000Z,,,,,,2025-04-10 13:45:14.165926
4,1839,BNB,BNB,bnb,2463,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,142470831.48,142470831.48,False,,5,,,,2025-04-10T13:44:00.000Z,574.6201692360146,1966938643.3655453,9.7693,-0.51065655,2.61626403,-2.33890469,4.41530041,-7.91048586,-16.80755229,81866613296.2333,3.1785,81866613296.23,,2025-04-10T13:44:00.000Z,,,,,,2025-04-10 13:45:14.165926
